year,quarter,period_end,region_code,org_code,org_name,sector,available_beds,occupied_beds,occupancy_rate
2025-26,Q2,September,Y61,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",General & Acute,506.0326086956522,480.82608695652175,95.01879497368704
2025-26,Q2,September,Y61,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,General & Acute,544.0,458.60869565217394,84.30306905370844
2025-26,Q2,September,Y61,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,General & Acute,1206.4782608695652,1156.4021739130435,95.8493999783776
2025-26,Q2,September,Y61,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,General & Acute,235.3913043478261,178.2608695652174,75.72958995197637
2025-26,Q2,September,Y61,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,General & Acute,947.2717391304348,832.8913043478261,87.92527739847847
2025-26,Q2,September,Y61,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,General & Acute,422.0,350.9130434782609,83.1547496393983
2025-26,Q2,September,Y61,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,General & Acute,449.32608695652175,399.9347826086956,89.00769267985872
2025-26,Q2,September,Y61,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,General & Acute,1042.3804347826087,954.9347826086956,91.61096570350054
2025-26,Q2,September,Y61,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,General & Acute,916.3695652173913,884.4673913043479,96.51863449813774
2025-26,Q2,September,Y61,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,General & Acute,451.0,426.05434782608694,94.46881326520776
2025-26,Q2,September,Y61,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,General & Acute,100.40217391304348,74.65217391304348,74.35314496048501
2025-26,Q2,September,Y61,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,General & Acute,663.0,504.9782608695652,76.16565020657092
2025-26,Q2,September,Y61,RWH,EAST AND NORTH HERTFORDSHIRE TEACHING NHS TRUST,General & Acute,573.7717391304348,484.30434782608694,84.40714569875158
2025-26,Q2,September,Y61,RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,General & Acute,75.15217391304348,72.07608695652173,95.90685565519235
2025-26,Q2,September,Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,General & Acute,2110.445652173913,1846.0652173913043,87.47276744557352
2025-26,Q2,September,Y62,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,General & Acute,745.9782608695652,680.4347826086956,91.21375491767448
2025-26,Q2,September,Y62,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,General & Acute,1186.141304347826,1162.0652173913043,97.97021764032074
2025-26,Q2,September,Y62,RBQ,LIVERPOOL HEART AND CHEST HOSPITAL NHS FOUNDATION TRUST,General & Acute,184.95652173913044,145.2173913043478,78.514339445228
2025-26,Q2,September,Y62,RBS,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,General & Acute,203.0,146.05434782608697,71.94795459413152
2025-26,Q2,September,Y62,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,General & Acute,492.0,462.10869565217394,93.92453163662073
2025-26,Q2,September,Y62,RBV,THE CHRISTIE NHS FOUNDATION TRUST,General & Acute,184.08695652173913,172.3804347826087,93.64076523382144
2025-26,Q2,September,Y62,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,General & Acute,1506.4565217391305,1459.8695652173913,96.90751403379655
2025-26,Q2,September,Y62,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,General & Acute,95.0,82.57608695652173,86.92219679633867
2025-26,Q2,September,Y62,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,General & Acute,22.445652173913043,13.217391304347826,58.88619854721549
2025-26,Q2,September,Y62,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,General & Acute,158.0,123.53260869565217,78.18519537699504
2025-26,Q2,September,Y62,RJN,EAST CHESHIRE NHS TRUST,General & Acute,319.1630434782609,282.3369565217391,88.46166944794469
2025-26,Q2,September,Y62,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,General & Acute,501.2826086956522,438.79347826086956,87.53415152435058
2025-26,Q2,September,Y62,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,General & Acute,1514.5760869565217,1412.9565217391305,93.29056056724153
2025-26,Q2,September,Y62,RMC,BOLTON NHS FOUNDATION TRUST,General & Acute,575.8695652173913,493.17391304347825,85.63986409966026
2025-26,Q2,September,Y62,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,General & Acute,458.3152173913044,421.1630434782609,91.893750741136
2025-26,Q2,September,Y62,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",General & Acute,532.4782608695652,471.3369565217391,88.51759614599494
2025-26,Q2,September,Y62,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,General & Acute,591.695652173913,528.2826086956521,89.28282754059813
2025-26,Q2,September,Y62,RWJ,STOCKPORT NHS FOUNDATION TRUST,General & Acute,632.8695652173913,570.1413043478261,90.08827974718331
2025-26,Q2,September,Y62,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,General & Acute,558.8913043478261,520.5217391304348,93.13469991053715
