year,quarter,period_end,region_code,org_code,org_name,available_total,occupied_total,occupancy_total,available_general_acute,occupied_general_acute,occupancy_general_acute,available_learning_disabilities,occupied_learning_disabilities,occupancy_learning_disabilities,available_maternity,occupied_maternity,occupancy_maternity,available_mental_illness,occupied_mental_illness,occupancy_mental_illness,occupancy_band,high_occupancy_92,high_occupancy_95
2025-26,Q1,June,Y61,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1092.8351648351647,985.4065934065934,90.1697369479527,1033.076923076923,938.6703296703297,90.8616104669716,0.0,0.0,,59.75824175824176,46.73626373626374,78.20890033100405,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y61,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1008.1098901098901,933.8241758241758,92.63118882033618,928.4725274725274,899.7252747252747,96.90381224035697,0.0,0.0,,79.63736263736264,34.0989010989011,42.81771767627984,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y61,RMY,NORFOLK AND SUFFOLK NHS FOUNDATION TRUST,426.0879120879121,381.7802197802198,89.60127920771652,0.0,0.0,,6.0,4.615384615384615,76.92307692307692,0.0,0.0,,420.0879120879121,377.16483516483515,89.78235848069477,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y61,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,498.0,460.64835164835165,92.4996690056931,451.0,435.2307692307692,96.5034965034965,0.0,0.0,,47.0,25.417582417582416,54.079962590600886,0.0,0.0,,92–94.9% High occupancy,True,False
2025-26,Q1,June,Y61,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,301.7802197802198,276.9010989010989,91.75588085354308,100.45054945054945,89.54945054945055,89.1477956459906,5.868131868131868,2.923076923076923,49.812734082397,0.0,0.0,,195.46153846153845,184.42857142857142,94.35542812166189,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y61,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,733.0439560439561,549.3296703296703,74.93816241174089,663.0439560439561,510.3736263736264,76.97432752705636,0.0,0.0,,70.0,38.956043956043956,55.65149136577708,0.0,0.0,,Below 85%,False,False
2025-26,Q1,June,Y61,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,645.8351648351648,566.0439560439561,87.64526722363071,585.2747252747253,516.8571428571429,88.31017649267744,0.0,0.0,,60.56043956043956,49.18681318681319,81.21937942297224,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y61,RWR,HERTFORDSHIRE PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,378.0,316.1868131868132,83.64730507587652,0.0,0.0,,37.0,19.175824175824175,51.82655182655183,0.0,0.0,,341.0,297.010989010989,87.09999677741614,Below 85%,False,False
2025-26,Q1,June,Y61,RY3,NORFOLK COMMUNITY HEALTH AND CARE NHS TRUST,77.95604395604396,70.91208791208791,90.96419509444601,76.82417582417582,69.78021978021978,90.83106851666429,1.1318681318681318,1.1318681318681318,100.0,0.0,0.0,,0.0,0.0,,85–91.9% Moderate-high occupancy,False,False
2025-26,Q1,June,Y62,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2364.6373626373625,2079.230769230769,87.93021721147679,2147.912087912088,1924.8461538461538,89.61475493707152,0.0,0.0,,204.72527472527472,147.8901098901099,72.23832528180355,12.0,6.4945054945054945,54.12087912087912,85–91.9% Moderate-high occupancy,False,False
